Prinia hodgsonii	1921
Pyrrhoplectes epauletta	25
Brachypteryx stellata	4
Nyctyornis athertoni	268
Turdus simillimus	418
Ficedula westermanni	91
Sphenocichla roberti	15
Larus sp.	19
Jynx torquilla	104
Gallinula chloropus	1487
Neophron percnopterus	398
Hemiprocne coronata	426
Tyto alba	118
Stercorarius maccormicki	3
Clanga pomarina/clanga	1
Cisticola exilis	18
Machlolophus nuchalis	16
Nettapus coromandelianus	935
Anas formosa	2
Phoenicurus auroreus	16
Lanius collurioides	1
Geokichla sibirica	1
Amaurornis cinerea	1
Sternula albifrons	231
Buteo refectus	59
Aquila nipalensis	258
Mirafra sp.	22
Pyrrhocorax pyrrhocorax	81
Bubo coromandus	46
Ixobrychus minutus	3
Ianthocincla nuchalis	12
Montifringilla ruficollis	1
Galerida deva	129
Apus nipalensis	41
Pittidae sp.	1
Pycnonotus priocephalus	395
Apus leuconyx	31
Chlidonias leucopterus	22
Anous tenuirostris	3
Cyornis banyumas	11
Leiothrix lutea	169
Anser/Chen/Branta sp.	6
Ninox affinis	14
Turdus feae	1
Cercotrichas galactotes	3
Calidris ruficollis	2
Cyornis magnirostris	5
Accipiter badius	3428
Megapomatorhinus mcclellandi	4
Motacilla tschutschensis	3
Iduna caligata/rama	48
Cyornis unicolor	35
Trochalopteron chrysopterum	6
Batrachostomus moniliger	130
Mergus merganser	34
Anatinae sp.	164
Ducula aenea	388
Petrochelidon fluvicola	350
Cursorius cursor	7
Dendrocopos analis	19
Sterninae sp.	265
Bradypterus sp.	1
Ficedula albicilla	497
Mulleripicus pulverulentus	18
Psittacula longicauda	50
Spelaeornis troglodytoides	12
Cinnyris asiaticus	5505
Lalage melanoptera	733
Sturnia malabarica	1307
Liocichla bugunorum	7
Athene brama	1505
Sylvia althaea	140
Sitta cinnamoventris	285
Pterocles sp.	4
Falco sp.	76
Iduna sp.	10
Phaethon lepturus	2
Pitta brachyura	539
Brachypteryx montana	21
Sylvia sp.	20
Turdus viscivorus	41
Grandala coelicolor	10
Ficedula sp.	22
Ducula bicolor	7
Otus sp.	1
Conostoma aemodium	2
Harpactes erythrocephalus	79
Stercorarius sp.	6
Streptopelia decaocto	2350
Hierococcyx sp.	12
Polyplectron bicalcaratum	60
Lophophanes dichrous	19
Dicaeum melanoxanthum	6
Prinia socialis	5819
Calidris ferruginea	210
Zoothera monticola	26
Tephrodornis virgatus/pondicerianus	46
Spizixos canifrons	27
Dendrocopos cathpharius	25
Tringa stagnatilis	679
Buteo sp.	5
Tyto longimembris	1
Melophus lathami	88
Leucosticte nemoricola	56
Dicrurus macrocercus/leucophaeus	63
Vanellus gregarius	4
Napothera malacoptila	13
Circus melanoleucos	37
Sturnia pagodarum	1649
Aquila heliaca	58
Acrocephalus stentoreus	964
Ficedula subrubra	8
Elanus caeruleus	1602
Psittacula derbiana	3
Sterna aurantia	1101
Clamator glandarius	1
Sternula saundersi	4
Hydrornis cyaneus	6
Cacomantis passerinus	435
Haliastur indus	6722
Francolinus pondicerianus	2678
Prunella fulvescens	16
Circus macrourus/pygargus	20
Fringillidae sp.	12
Tragopan satyra	7
Chroicocephalus brunnicephalus	550
Petronia xanthocollis	771
Fregata minor	1
Clanga hastata/clanga	1
Prunella collaris	28
Apus melba	260
Cuculidae sp.	1
Enicurus leschenaulti	11
Pellorneum palustre	13
Galerida malabarica	231
Calidris pugnax	407
Yuhina occipitalis	55
Buceros bicornis	333
Limnodromus semipalmatus	2
Accipiter trivirgatus	274
Chrysocolaptes guttacristatus	961
Accipitridae sp. (hawk sp.)	17
Falco peregrinus	315
Locustella lanceolata	1
Hierococcyx varius	2490
Phoenicopteridae sp.	4
Aegithalos concinnus	314
Emberiza fucata	13
Geokichla wardii	23
Phylloscopus xanthoschistos	613
Seicercus burkii	66
Dendrocopos mahrattensis	249
Tragopan temminckii	3
Acrocephalus melanopogon	48
Sturnia malabarica/blythii	86
Cuculus micropterus	408
Dicaeum ignipectus	106
Dendrocitta/Crypsirina/Temnurus sp.	1
Haematopus ostralegus	49
Oriolus chinensis	335
Buteo rufinus	95
Pernis ptilorhynchus	1532
Ficedula albicilla/parva	28
Bubo bubo	1
Ardea sp.	1
Gecinulus grantia	19
Anas platyrhynchos (Domestic type)	2
Pellorneum albiventre	2
Pteruthius flaviscapis	1
Glaucidium cuculoides	269
Actitis hypoleucos	3006
Pericrocotus solaris	51
Aerodramus unicolor	865
Locustella kashmirensis	1
Ianthocincla gularis	2
Prinia sp.	173
Suthora nipalensis	26
Jacanidae sp.	2
Cecropis daurica	2900
Galloperdix lunulata	96
Oenanthe deserti	159
Certhia nipalensis	10
Hierococcyx sparverioides	183
Lonchura punctulata	2141
